PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Derrick Rose,MIN,29,2.4,3.7,64.9
Derrick Walton Jr.,MIA,23,0.0,0.0,0.0
Derrick White,SAS,23,0.3,0.6,55.6
Derrick Williams,LAL,26,0.5,0.5,100
Devin Booker,PHX,21,2.4,4.2,57.7
Devin Harris,DEN,35,1.3,2.2,58.3
Dewayne Dedmon,ATL,28,1.8,2.5,73.1
Deyonta Davis,MEM,21,1.9,2.6,73.5
Dillon Brooks,MEM,22,1.8,2.9,60.3
Dion Waiters,MIA,26,2.5,4.4,55.6
Dirk Nowitzki,DAL,39,0.4,0.5,72.5
Domantas Sabonis,IND,21,3.1,4.9,62.9
Donovan Mitchell,UTA,21,3.2,5.3,59.5
Dorian Finney-Smith,DAL,24,0.6,0.9,73.3
Doug McDermott,DAL,26,1.3,2.2,61.6
Dragan Bender,PHX,20,0.6,1.2,51.1
Draymond Green,GSW,28,2.4,3.7,65.5
Dwayne Bacon,CHA,22,0.5,0.8,61.5
Dwight Buycks,DET,29,1.3,2.6,50.7
Dwight Howard,CHA,32,5.0,7.6,66.0
Dwight Powell,DAL,26,2.6,3.5,73.6
Dwyane Wade,MIA,36,2.3,3.6,63.4
E'Twaun Moore,NOP,29,1.8,2.9,61.4
Ed Davis,POR,28,2.0,3.1,62.3
Ekpe Udoh,UTA,30,0.8,1.2,64.3
Elfrid Payton,PHX,24,3.4,5.5,62.5
Emeka Okafor,NOP,35,1.3,2.4,54.5
Emmanuel Mudiay,NYK,22,1.5,2.9,51.4
Enes Kanter,NYK,25,4.5,6.9,65.0
Eric Bledsoe,MIL,28,3.0,4.6,65.0
Eric Gordon,HOU,29,2.5,3.9,62.9
Eric Moreland,DET,26,0.7,1.2,59.5
Erik McCree,UTA,24,0.0,0.3,0.0
Ersan Ilyasova,PHI,30,1.8,3.0,60.0
Evan Fournier,ORL,25,2.4,4.0,60.5
Evan Turner,POR,29,0.7,1.1,61.2
Frank Kaminsky,CHA,24,1.2,2.1,60.0
Frank Mason,SAC,24,1.1,2.6,43.4
Frank Ntilikina,NYK,19,0.6,1.2,51.1
Fred VanVleet,TOR,24,1.5,2.9,50.7
Furkan Korkmaz,PHI,20,0.2,0.2,100
Garrett Temple,SAC,31,0.7,1.3,56.5
Gary Harris,DEN,23,2.8,4.1,66.8
Gary Payton II,LAL,25,0.8,1.4,53.8
George Hill,CLE,31,1.1,1.6,66.0
Georges Niang,UTA,24,0.2,0.3,50.0
Georgios Papagiannis,POR,20,0.5,1.3,40.0
Gerald Green,HOU,32,0.7,1.3,51.1
Gian Clavell,DAL,24,0.0,0.0,0.0
Giannis Antetokounmpo,MIL,23,6.8,9.7,70.6
Glenn Robinson III,IND,24,0.4,0.8,53.3
Goran Dragic,MIA,31,2.8,5.0,56.7
Gordon Hayward,BOS,28,0.0,0.0,0.0
Gorgui Dieng,MIN,28,0.9,1.5,59.1
Greg Monroe,BOS,27,3.4,5.4,63.6
Guerschon Yabusele,BOS,22,0.2,0.4,60.0
Harrison Barnes,DAL,25,2.5,4.2,58.1
Hassan Whiteside,MIA,28,3.9,5.9,66.6
Henry Ellenson,DET,21,0.5,0.8,65.2
Ian Clark,NOP,27,0.9,1.5,62.1
Ian Mahinmi,WAS,31,1.5,2.5,60.6
Ike Anigbogu,IND,19,0.1,0.2,50.0
Iman Shumpert,SAC,27,0.4,0.6,75.0
Isaiah Canaan,PHX,26,1.0,2.5,40.0
Isaiah Hicks,NYK,23,0.9,1.6,57.1
Isaiah Taylor,ATL,23,1.5,2.8,55.8
Isaiah Thomas,LAL,29,1.5,3.2,47.5
Isaiah Whitehead,BKN,23,1.4,2.6,56.1
Ish Smith,DET,29,2.0,3.5,59.0
Ivan Rabb,MEM,21,1.1,1.9,61.1
Ivica Zubac,LAL,21,1.2,1.9,64.2
J.J. Barea,DAL,33,1.4,2.3,61.0
JJ Redick,PHI,33,0.6,1.1,58.3
JR Smith,CLE,32,0.4,0.7,50.9
JaKarr Sampson,SAC,25,1.1,1.8,57.1
JaMychal Green,MEM,27,2.5,4.3,58.3
JaVale McGee,GSW,30,1.5,2.3,68.1
Jabari Bird,BOS,23,0.2,0.2,100
Jabari Parker,MIL,23,2.3,4.1,57.5
Jack Cooley,SAC,26,1.0,1.8,57.1
Jacob Pullen,PHI,28,0.0,0.0,0.0
Jacob Wiley,BKN,23,0.0,0.2,0.0
Jae Crowder,UTA,27,1.6,2.5,62.2
Jahlil Okafor,BKN,22,1.6,2.6,63.8
Jake Layman,POR,24,0.2,0.3,54.5
Jakob Poeltl,TOR,22,2.7,3.9,69.4
Jalen Jones,DAL,24,0.8,1.5,50.0
Jamal Crawford,MIN,38,0.4,0.8,53.3
Jamal Murray,DEN,21,2.0,3.5,57.8
Jameel Warney,DAL,24,1.7,2.0,83.3
Jameer Nelson,DET,36,0.5,0.8,64.3
Jamel Artis,ORL,25,0.1,0.6,20.0
James Ennis III,DET,27,1.5,2.3,63.5
James Harden,HOU,28,4.0,6.6,61.2
James Johnson,MIA,31,2.6,3.8,66.4
James Michael McAdoo,PHI,25,0.0,0.0,0.0
James Webb III,BKN,24,0.1,0.3,33.3
James Young,PHI,22,0.2,0.3,50.0
Jamil Wilson,LAC,27,0.4,0.6,66.7
Jared Dudley,PHX,32,0.3,0.5,57.1
Jarell Eddie,CHI,26,0.0,0.0,0.0
Jarell Martin,MEM,23,1.7,3.1,54.5
Jarrett Allen,BKN,19,2.8,4.3,65.6
Jarrett Jack,NYK,34,0.7,1.3,55.4
Jason Smith,WAS,32,0.6,1.0,58.1
Jason Terry,MIL,40,0.2,0.3,53.8
Jawun Evans,LAC,21,0.8,1.8,42.0
Jaylen Brown,BOS,21,2.7,4.9,55.7
Jaylen Morris,ATL,22,1.2,2.5,46.7
Jayson Tatum,BOS,20,2.2,4.0,56.5
Jeff Green,CLE,31,2.4,3.7,64.6
Jeff Teague,MIN,29,1.8,3.1,59.6
Jeff Withey,DAL,28,0.4,0.4,100
Jerami Grant,OKC,24,2.4,3.6,64.9
Jeremy Lamb,CHA,25,1.6,2.8,58.4
Jeremy Lin,BKN,29,3.0,6.0,50.0
Jerian Grant,CHI,25,0.9,1.6,57.8
Jerryd Bayless,PHI,29,1.0,1.5,65.0
Jimmy Butler,MIN,28,2.8,4.5,61.3
Joakim Noah,NYK,33,0.3,1.0,28.6
Jodie Meeks,WAS,30,0.6,0.8,68.3
Joe Harris,BKN,26,1.6,2.5,63.0
Joe Ingles,UTA,30,1.1,1.9,60.1
Joe Johnson,HOU,36,0.3,0.5,62.5
Joe Young,IND,25,0.5,0.8,54.8
Joel Bolomboy,MIL,24,0.5,1.0,50.0
Joel Embiid,PHI,24,3.9,6.0,65.2
Joffrey Lauvergne,SAS,26,1.4,2.3,60.2
John Collins,ATL,20,3.4,5.1,67.4
John Henson,MIL,27,2.9,4.5,64.6
John Holland,CLE,29,0.2,0.6,40.0
John Wall,WAS,27,3.4,5.9,58.7
Johnathan Motley,DAL,22,1.3,1.9,69.2
Johnny O'Bryant III,CHA,24,0.7,1.2,58.1
Jon Leuer,DET,28,1.3,2.0,62.5
Jonas Jerebko,UTA,31,1.0,1.5,62.3
Jonas Valanciunas,TOR,25,3.4,5.1,66.0
Jonathan Isaac,ORL,20,1.1,1.5,72.5
Jonathon Simmons,ORL,28,2.5,3.9,63.9
Jordan Bell,GSW,23,1.7,2.5,68.2
Jordan Clarkson,CLE,25,2.2,3.6,59.9
Jordan Crawford,NOP,29,0.5,1.0,50.0
Jordan Mickey,MIA,23,1.4,2.2,61.2
Jose Calderon,CLE,36,0.5,0.6,69.7
Josh Gray,PHX,24,1.2,3.2,37.5
Josh Hart,LAL,23,1.2,1.9,62.2
Josh Huestis,OKC,26,0.4,0.8,43.6
Josh Jackson,PHX,21,2.7,4.8,56.4
Josh Magette,ATL,28,0.0,0.1,0.0
Josh McRoberts,DAL,31,0.0,0.0,0.0
Josh Richardson,MIA,24,1.7,2.9,59.5
Josh Smith,NOP,32,0.5,1.5,33.3
Jrue Holiday,NOP,27,3.6,5.8,62.8
Juancho Hernangomez,DEN,22,0.6,1.0,63.6
Julius Randle,LAL,23,5.2,7.7,66.8
Julyan Stone,CHA,29,0.0,0.0,0.0
Justin Anderson,PHI,24,1.1,1.9,60.9
Justin Holiday,CHI,28,0.8,1.7,47.4
Justin Jackson,SAC,23,1.0,1.3,76.7
Justin Patton,MIN,20,0.0,1.0,0.0
Justise Winslow,MIA,22,1.7,3.2,54.5
Jusuf Nurkic,POR,23,4.3,7.3,58.5
Kadeem Allen,BOS,25,0.1,0.3,50.0
Karl-Anthony Towns,MIN,22,3.9,5.9,67.4
Kawhi Leonard,SAS,26,2.0,2.8,72.0
Kay Felder,DET,23,0.4,1.2,33.3
Kelly Olynyk,MIA,26,2.1,2.8,73.1
Kelly Oubre Jr.,WAS,22,1.9,3.1,61.2
Kemba Walker,CHA,27,2.4,4.5,52.8
Kenneth Faried,DEN,28,1.9,3.3,57.5
Kent Bazemore,ATL,28,1.7,3.1,54.7
Kentavious Caldwell-Pope,LAL,25,1.6,2.4,64.2
Kevin Durant,GSW,29,2.7,3.9,71.2
Kevin Love,CLE,29,2.2,3.7,59.2
Kevon Looney,GSW,22,1.3,2.0,64.8
Khem Birch,ORL,25,1.0,1.6,62.5
Khris Middleton,MIL,26,1.5,2.7,54.8
Klay Thompson,GSW,28,1.5,2.2,66.9
Kobi Simmons,MEM,20,1.4,2.1,66.7
Kosta Koufos,SAC,29,1.7,2.6,66.3
Kris Dunn,CHI,24,2.0,3.9,51.7
Kristaps Porzingis,NYK,22,1.9,3.6,53.8
Kyle Anderson,SAS,24,1.9,2.9,64.6
Kyle Collinsworth,DAL,26,0.7,1.5,45.0
Kyle Korver,CLE,37,0.3,0.4,71.0
Kyle Kuzma,LAL,22,2.7,4.5,59.0
Kyle Lowry,TOR,32,1.6,2.6,62.2
Kyle O'Quinn,NYK,28,1.8,2.7,67.4
Kyle Singler,OKC,29,0.4,0.8,50.0
Kyrie Irving,BOS,26,3.1,5.2,59.7
LaMarcus Aldridge,SAS,32,4.2,6.1,67.7
Lance Stephenson,IND,27,1.7,2.8,59.8
Lance Thomas,NYK,29,0.4,0.9,43.8
