PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Derrick Rose,MIN,29,0.3,1.0,27.3
Derrick Walton Jr.,MIA,23,0.3,0.7,40.0
Derrick White,SAS,23,0.3,0.4,80.0
Derrick Williams,LAL,26,0.0,2.0,0.0
Devin Booker,PHX,21,1.2,3.0,40.5
Devin Harris,DEN,35,0.5,1.4,33.3
Dewayne Dedmon,ATL,28,0.7,1.8,38.1
Deyonta Davis,MEM,21,0.0,0.1,33.3
Dillon Brooks,MEM,22,0.6,1.5,38.1
Dion Waiters,MIA,26,1.2,3.0,39.3
Dirk Nowitzki,DAL,39,1.0,2.2,47.9
Domantas Sabonis,IND,21,0.2,0.6,40.0
Donovan Mitchell,UTA,21,1.0,2.6,36.7
Dorian Finney-Smith,DAL,24,0.6,1.8,33.3
Doug McDermott,DAL,26,0.6,1.4,43.5
Dragan Bender,PHX,20,0.6,1.8,34.3
Draymond Green,GSW,28,0.2,0.8,29.4
Dwayne Bacon,CHA,22,0.3,0.8,31.8
Dwight Buycks,DET,29,0.6,1.3,44.1
Dwight Howard,CHA,32,0.1,0.4,28.1
Dwight Powell,DAL,26,0.2,0.7,36.7
Dwyane Wade,MIA,36,0.3,1.0,26.7
E'Twaun Moore,NOP,29,1.2,2.5,46.1
Ed Davis,POR,28,0.0,0.0,0.0
Ekpe Udoh,UTA,30,0.0,0.0,0.0
Elfrid Payton,PHX,24,0.3,0.9,34.5
Emeka Okafor,NOP,35,0.0,0.0,0.0
Emmanuel Mudiay,NYK,22,0.5,1.1,41.8
Enes Kanter,NYK,25,0.0,0.0,0.0
Eric Bledsoe,MIL,28,0.6,1.8,34.7
Eric Gordon,HOU,29,0.8,2.1,40.6
Eric Moreland,DET,26,0.0,0.0,0.0
Erik McCree,UTA,24,0.0,0.0,0.0
Ersan Ilyasova,PHI,30,0.8,2.2,38.2
Evan Fournier,ORL,25,1.1,2.6,42.4
Evan Turner,POR,29,0.4,1.4,33.0
Frank Kaminsky,CHA,24,0.2,0.7,32.1
Frank Mason,SAC,24,0.6,1.2,49.2
Frank Ntilikina,NYK,19,0.5,1.4,36.2
Fred VanVleet,TOR,24,0.7,1.6,44.6
Furkan Korkmaz,PHI,20,0.0,0.3,0.0
Garrett Temple,SAC,31,0.9,2.3,38.9
Gary Harris,DEN,23,1.4,3.3,40.6
Gary Payton II,LAL,25,0.1,0.5,11.1
George Hill,CLE,31,0.9,2.0,44.5
Georges Niang,UTA,24,0.0,0.5,0.0
Georgios Papagiannis,POR,20,0.0,0.1,0.0
Gerald Green,HOU,32,0.9,2.7,34.7
Gian Clavell,DAL,24,0.7,1.7,40.0
Giannis Antetokounmpo,MIL,23,0.6,1.6,37.2
Glenn Robinson III,IND,24,0.3,0.7,50.0
Goran Dragic,MIA,31,0.6,1.4,40.4
