PLAYER,TEAM,AGE,MIN
Robin Lopez,CHI,30,26.4
Rodney Hood,CLE,25,27.1
Rodney McGruder,MIA,26,16.9
Rodney Purvis,ORL,24,15.4
Ron Baker,NYK,25,13.3
Rondae Hollis-Jefferson,BKN,23,28.5
Royce O'Neale,UTA,24,16.2
Rudy Gay,SAS,31,21.5
Rudy Gobert,UTA,25,32.7
Russell Westbrook,OKC,29,36.3
Ryan Anderson,HOU,29,26.5
Salah Mejri,DAL,31,12.0
Sam Dekker,LAC,23,11.8
Sean Kilpatrick,CHI,28,10.8
Semi Ojeleye,BOS,23,15.1
Serge Ibaka,TOR,28,27.5
Shabazz Napier,POR,26,20.7
Shane Larkin,BOS,25,13.7
Shaquille Harrison,PHX,24,14.1
Shaun Livingston,GSW,32,15.9
Shelvin Mack,ORL,27,19.5
Sindarius Thornwell,LAC,23,15.3
Skal Labissiere,SAC,22,20.7
Solomon Hill,NOP,27,14.8
Spencer Dinwiddie,BKN,24,28.7
Stanley Johnson,DET,21,27.2
Stephen Curry,GSW,30,32.0
Sterling Brown,MIL,23,14.3
Steven Adams,OKC,24,32.7
T.J. McConnell,PHI,26,23.1
TJ Warren,PHX,24,33.0
Taj Gibson,MIN,32,33.5
Taurean Prince,ATL,24,30.2
Terrance Ferguson,OKC,19,12.3
Terrence Ross,ORL,27,26.2
Terry Rozier,BOS,24,25.7
Thabo Sefolosha,UTA,33,21.2
Thaddeus Young,IND,29,32.6
Thon Maker,MIL,21,17.0
Tim Frazier,WAS,27,14.5
Tim Hardaway Jr.,NYK,26,33.1
Timofey Mozgov,BKN,31,12.1
Timothe Luwawu-Cabarrot,PHI,22,15.5
Tobias Harris,LAC,25,33.5
Tomas Satoransky,WAS,26,22.2
Tony Allen,NOP,36,12.4
Tony Parker,SAS,35,19.8
Tony Snell,MIL,26,27.7
Torrey Craig,DEN,27,16.7
Travis Wear,LAL,27,13.3
Treveon Graham,CHA,24,16.7
Trevor Ariza,HOU,32,34.0
Trevor Booker,IND,30,17.0
Trey Burke,NYK,25,19.9
Trey Lyles,DEN,22,19.6
Tristan Thompson,CLE,27,20.9
Troy Daniels,PHX,26,20.8
Troy Williams,NYK,23,14.6
Tyler Cavanaugh,ATL,24,13.4
Tyler Dorsey,ATL,22,16.3
Tyler Ennis,LAL,23,11.0
Tyler Johnson,MIA,25,28.5
Tyler Ulis,PHX,22,22.8
Tyler Zeller,MIL,28,16.5
Tyreke Evans,MEM,28,30.9
Tyrone Wallace,LAC,23,28.0
Tyson Chandler,PHX,35,25.0
Tyus Jones,MIN,21,18.0
Victor Oladipo,IND,25,34.3
Vince Carter,SAC,41,17.6
Wayne Ellington,MIA,30,26.6
Wayne Selden,MEM,23,19.8
Wes Iwundu,ORL,23,15.1
Wesley Johnson,LAC,30,20.6
Wesley Matthews,DAL,31,33.8
Will Barton,DEN,27,32.8
Willie Cauley-Stein,SAC,24,27.6
Willie Reed,DET,27,10.2
Wilson Chandler,DEN,30,31.4
Xavier Rathan-Mayes,MEM,23,23.6
Yogi Ferrell,DAL,24,28.6
Zach Collins,POR,20,15.7
Zach LaVine,CHI,23,27.3
Zach Randolph,SAC,36,25.6
Zaza Pachulia,GSW,34,14.2
