PLAYER,TEAM,AGE,DIFFPercent
Wesley Johnson,LAC,30,-1.4
Anthony Tolliver,DET,32,-4.7
Ian Mahinmi,WAS,31,-2.6
Milos Teodosic,LAC,31,5.2
Buddy Hield,SAC,24,5.3
Will Barton,DEN,27,5.8
Mario Hezonja,ORL,23,1.1
Dejounte Murray,SAS,21,2.0
Mike Conley,MEM,30,-4.5
Terrence Ross,ORL,27,-1.1
Isaiah Thomas,LAL,29,-1.7
JaMychal Green,MEM,27,-5.2
David West,GSW,37,-7.0
Jamil Wilson,LAC,27,-5.7
Ish Smith,DET,29,-1.4
Ekpe Udoh,UTA,30,-3.2
Marreese Speights,ORL,30,-1.8
Evan Turner,POR,29,-2.4
Joe Harris,BKN,26,-0.3
Cory Joseph,IND,26,4.2
Cristiano Felicio,CHI,25,3.5
Bobby Portis,CHI,23,4.5
Kyle Anderson,SAS,24,3.5
Kevon Looney,GSW,22,-8.8
Tony Snell,MIL,26,2.5
Jeff Teague,MIN,29,6.4
Jonathon Simmons,ORL,28,2.5
Jaylen Brown,BOS,21,-6.9
Quincy Acy,BKN,27,0.0
Khem Birch,ORL,25,3.4
Michael Beasley,NYK,29,0.0
Darius Miller,NOP,28,-1.0
Yogi Ferrell,DAL,24,7.8
Kent Bazemore,ATL,28,1.8
Jerami Grant,OKC,24,-5.3
TJ Warren,PHX,24,-1.8
Xavier Rathan-Mayes,MEM,23,0.1
Joe Ingles,UTA,30,-3.1
Richaun Holmes,PHI,24,-5.2
Bam Adebayo,MIA,20,-6.0
Channing Frye,LAL,34,3.7
Noah Vonleh,CHI,22,3.3
Deyonta Davis,MEM,21,3.6
Nicolas Batum,CHA,29,-0.2
Stephen Curry,GSW,30,5.1
Pascal Siakam,TOR,24,-2.2
Nene,HOU,35,-0.9
Jeremy Lin,BKN,29,47.9
Rudy Gay,SAS,31,-5.2
Reggie Bullock,DET,27,3.6
David Nwaba,CHI,25,6.6
Salah Mejri,DAL,31,-6.5
D'Angelo Russell,BKN,22,2.7
Wesley Matthews,DAL,31,0.9
Corey Brewer,OKC,32,-7.3
Jabari Parker,MIL,23,2.8
Denzel Valentine,CHI,24,6.5
Josh Jackson,PHX,21,5.3
Reggie Jackson,DET,27,1.8
Jayson Tatum,BOS,20,-2.1
Zach Collins,POR,20,-6.3
Stanley Johnson,DET,21,-1.4
Gerald Green,HOU,32,5.8
Josh Gray,PHX,24,3.5
