PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Greg Monroe,BOS,27,0.1,0.2,40.0
Guerschon Yabusele,BOS,22,0.0,0.0,0.0
Harrison Barnes,DAL,25,0.6,1.8,36.1
Hassan Whiteside,MIA,28,0.5,1.4,34.3
Henry Ellenson,DET,21,0.0,0.3,12.5
Ian Clark,NOP,27,0.3,0.6,51.2
Ian Mahinmi,WAS,31,0.1,0.1,40.0
Ike Anigbogu,IND,19,0.1,0.4,33.3
Iman Shumpert,SAC,27,0.1,0.2,66.7
Isaiah Canaan,PHX,26,0.1,0.2,25.0
Isaiah Hicks,NYK,23,0.3,0.3,100
Isaiah Taylor,ATL,23,0.1,0.6,21.2
Isaiah Thomas,LAL,29,0.5,1.3,34.9
Isaiah Whitehead,BKN,23,0.1,0.3,20.0
Ish Smith,DET,29,0.6,1.3,48.5
Ivan Rabb,MEM,21,0.2,0.4,54.5
Ivica Zubac,LAL,21,0.0,0.1,0.0
J.J. Barea,DAL,33,0.4,1.0,42.9
JJ Redick,PHI,33,0.3,0.6,47.4
JR Smith,CLE,32,0.1,0.4,35.5
JaKarr Sampson,SAC,25,0.0,0.1,0.0
JaMychal Green,MEM,27,0.1,0.4,29.2
JaVale McGee,GSW,30,0.1,0.3,26.7
Jabari Bird,BOS,23,0.0,0.0,0.0
Jabari Parker,MIL,23,0.3,0.7,47.1
Jack Cooley,SAC,26,0.0,0.3,0.0
Jacob Pullen,PHI,28,0.5,0.5,100
Jacob Wiley,BKN,23,0.0,0.0,0.0
Jae Crowder,UTA,27,0.1,0.2,38.9
Jahlil Okafor,BKN,22,0.3,0.8,40.0
Jake Layman,POR,24,0.0,0.2,20.0
Jakob Poeltl,TOR,22,0.1,0.2,50.0
Jalen Jones,DAL,24,0.0,0.1,0.0
Jamal Crawford,MIN,38,0.5,0.8,60.0
Jamal Murray,DEN,21,0.6,1.3,47.9
Jameel Warney,DAL,24,0.3,1.0,33.3
Jameer Nelson,DET,36,0.1,0.3,33.3
Jamel Artis,ORL,25,0.0,0.0,0.0
James Ennis III,DET,27,0.1,0.3,47.6
James Harden,HOU,28,0.5,1.2,41.3
James Johnson,MIA,31,0.2,0.4,50.0
James Michael McAdoo,PHI,25,0.0,0.0,0.0
James Webb III,BKN,24,0.0,0.0,0.0
James Young,PHI,22,0.0,0.2,0.0
Jamil Wilson,LAC,27,0.0,0.1,0.0
Jared Dudley,PHX,32,0.0,0.0,0.0
Jarell Eddie,CHI,26,0.0,0.0,0.0
Jarell Martin,MEM,23,0.2,0.5,41.7
Jarrett Allen,BKN,19,0.1,0.2,38.5
Jarrett Jack,NYK,34,0.4,1.1,37.1
Jason Smith,WAS,32,0.2,0.4,54.5
Jason Terry,MIL,40,0.1,0.2,71.4
Jawun Evans,LAC,21,0.3,0.4,61.9
Jaylen Brown,BOS,21,0.2,0.5,40.0
Jaylen Morris,ATL,22,0.3,0.3,100
Jayson Tatum,BOS,20,0.3,0.8,37.3
Jeff Green,CLE,31,0.2,0.7,27.1
Jeff Teague,MIN,29,0.7,1.6,41.1
Jeff Withey,DAL,28,0.0,0.0,0.0
Jerami Grant,OKC,24,0.1,0.1,50.0
Jeremy Lamb,CHA,25,0.7,1.3,51.0
Jeremy Lin,BKN,29,0.0,0.0,0.0
Jerian Grant,CHI,25,0.3,0.7,42.2
Jerryd Bayless,PHI,29,0.1,0.3,30.8
Jimmy Butler,MIN,28,1.3,2.8,45.5
Joakim Noah,NYK,33,0.0,0.0,0.0
Jodie Meeks,WAS,30,0.1,0.5,28.6
Joe Harris,BKN,26,0.1,0.2,42.9
Joe Ingles,UTA,30,0.1,0.3,31.8
Joe Johnson,HOU,36,0.4,1.0,42.3
Joe Young,IND,25,0.2,0.4,50.0
Joel Bolomboy,MIL,24,0.2,0.2,100
Joel Embiid,PHI,24,1.3,3.1,43.4
Joffrey Lauvergne,SAS,26,0.0,0.2,25.0
John Collins,ATL,20,0.3,0.6,43.9
John Henson,MIL,27,0.0,0.1,37.5
John Holland,CLE,29,0.0,0.1,0.0
John Wall,WAS,27,0.3,1.1,31.0
Johnathan Motley,DAL,22,0.1,0.1,100
Johnny O'Bryant III,CHA,24,0.4,1.1,37.8
Jon Leuer,DET,28,0.5,0.8,66.7
Jonas Jerebko,UTA,31,0.1,0.2,45.5
Jonas Valanciunas,TOR,25,0.3,0.7,38.5
Jonathan Isaac,ORL,20,0.1,0.9,16.7
Jonathon Simmons,ORL,28,0.4,1.0,36.2
Jordan Bell,GSW,23,0.2,0.3,64.7
Jordan Clarkson,CLE,25,0.6,1.3,45.4
Jordan Crawford,NOP,29,0.5,2.0,25.0
Jordan Mickey,MIA,23,0.0,0.1,0.0
Jose Calderon,CLE,36,0.1,0.2,40.0
Josh Gray,PHX,24,0.2,0.6,33.3
Josh Hart,LAL,23,0.0,0.1,14.3
Josh Huestis,OKC,26,0.0,0.0,0.0
Josh Jackson,PHX,21,0.3,1.2,29.9
Josh Magette,ATL,28,0.0,0.3,0.0
Josh McRoberts,DAL,31,0.0,0.0,0.0
Josh Richardson,MIA,24,0.5,1.0,48.1
Josh Smith,NOP,32,0.0,0.0,0.0
Jrue Holiday,NOP,27,0.6,1.4,41.7
Juancho Hernangomez,DEN,22,0.0,0.0,0.0
Julius Randle,LAL,23,0.1,0.4,40.7
Julyan Stone,CHA,29,0.0,0.0,0.0
Justin Anderson,PHI,24,0.1,0.2,33.3
Justin Holiday,CHI,28,0.2,0.8,30.8
Justin Jackson,SAC,23,0.3,0.6,42.1
Justin Patton,MIN,20,1.0,1.0,100
Justise Winslow,MIA,22,0.1,0.5,24.1
Jusuf Nurkic,POR,23,0.4,1.0,39.5
Kadeem Allen,BOS,25,0.0,0.2,0.0
Karl-Anthony Towns,MIN,22,0.5,1.1,43.7
Kawhi Leonard,SAS,26,1.3,2.6,52.2
Kay Felder,DET,23,0.2,0.5,40.0
Kelly Olynyk,MIA,26,0.2,0.5,39.4
Kelly Oubre Jr.,WAS,22,0.2,0.5,30.8
Kemba Walker,CHA,27,0.6,1.4,42.3
Kenneth Faried,DEN,28,0.2,0.3,45.5
Kent Bazemore,ATL,28,0.3,0.6,42.5
Kentavious Caldwell-Pope,LAL,25,0.2,0.5,35.3
Kevin Durant,GSW,29,1.4,2.8,50.0
Kevin Love,CLE,29,0.4,1.1,40.7
Kevon Looney,GSW,22,0.1,0.1,62.5
Khem Birch,ORL,25,0.1,0.5,21.4
Khris Middleton,MIL,26,1.4,2.6,52.0
Klay Thompson,GSW,28,0.8,1.7,47.8
Kobi Simmons,MEM,20,0.3,0.7,40.0
Kosta Koufos,SAC,29,0.3,0.7,47.1
Kris Dunn,CHI,24,0.8,1.9,40.0
Kristaps Porzingis,NYK,22,1.8,4.1,45.1
Kyle Anderson,SAS,24,0.3,0.6,40.9
Kyle Collinsworth,DAL,26,0.0,0.1,0.0
Kyle Korver,CLE,37,0.1,0.2,50.0
Kyle Kuzma,LAL,22,0.3,0.8,37.9
Kyle Lowry,TOR,32,0.2,0.6,39.0
Kyle O'Quinn,NYK,28,0.3,0.5,52.9
Kyle Singler,OKC,29,0.1,0.3,33.3
Kyrie Irving,BOS,26,0.9,1.8,46.8
LaMarcus Aldridge,SAS,32,1.8,4.0,44.2
Lance Stephenson,IND,27,0.2,0.4,53.1
Lance Thomas,NYK,29,0.0,0.1,42.9
Langston Galloway,DET,26,0.2,0.4,52.6
Larry Drew II,NOP,28,0.0,0.1,0.0
Larry Nance Jr.,CLE,25,0.2,0.4,37.0
Lauri Markkanen,CHI,20,0.3,1.0,33.9
LeBron James,CLE,33,0.6,1.4,42.7
London Perrantes,CLE,23,0.0,0.0,0.0
Lonzo Ball,LAL,20,0.2,0.5,40.0
Lorenzo Brown,TOR,27,0.1,0.4,25.0
Lou Williams,LAC,31,0.8,1.6,50.8
Luc Mbah a Moute,HOU,31,0.0,0.0,0.0
Lucas Nogueira,TOR,25,0.0,0.0,0.0
Luis Montero,DET,24,0.0,0.0,0.0
Luke Babbitt,MIA,28,0.1,0.3,33.3
Luke Kennard,DET,21,0.3,0.6,39.5
Luke Kornet,NYK,22,0.1,0.1,50.0
Luol Deng,LAL,32,0.0,0.0,0.0
Malachi Richardson,TOR,22,0.0,0.2,25.0
Malcolm Brogdon,MIL,25,0.4,1.0,43.2
Malcolm Delaney,ATL,29,0.1,0.3,41.2
Malcolm Miller,TOR,25,0.0,0.0,0.0
Malik Beasley,DEN,21,0.0,0.1,33.3
Malik Monk,CHA,20,0.2,0.5,33.3
Mangok Mathiang,CHA,25,0.0,0.0,0.0
Manu Ginobili,SAS,40,0.2,0.6,35.9
MarShon Brooks,MEM,29,0.5,1.0,50.0
Marc Gasol,MEM,33,0.8,2.4,35.7
Marcin Gortat,WAS,34,0.6,1.4,42.9
Marco Belinelli,PHI,32,0.2,0.4,51.7
Marcus Georges-Hunt,MIN,24,0.0,0.1,33.3
Marcus Morris,BOS,28,0.7,1.6,43.8
Marcus Paige,CHA,24,0.0,0.0,0.0
Marcus Smart,BOS,24,0.2,0.8,31.0
Mario Chalmers,MEM,31,0.3,0.7,40.5
Mario Hezonja,ORL,23,0.2,0.4,43.3
Markel Brown,HOU,26,0.3,0.3,100
Markelle Fultz,PHI,19,0.6,1.8,35.7
Markieff Morris,WAS,28,0.9,1.8,49.2
Marquese Chriss,PHX,20,0.1,0.3,41.7
Marquis Teague,MEM,25,0.0,0.5,0.0
Marreese Speights,ORL,30,0.2,0.4,61.1
Marshall Plumlee,MIL,25,0.0,0.0,0.0
Marvin Williams,CHA,31,0.2,0.4,41.4
Mason Plumlee,DEN,28,0.0,0.1,30.0
Matt Costello,SAS,24,0.0,0.0,0.0
Matt Williams Jr.,MIA,24,0.5,0.5,100
Matthew Dellavedova,MIL,27,0.2,0.4,43.8
Maurice Harkless,POR,24,0.0,0.0,50.0
Maxi Kleber,DAL,26,0.1,0.2,46.7
Meyers Leonard,POR,26,0.2,0.4,60.0
Michael Beasley,NYK,29,0.7,1.6,43.8
Michael Carter-Williams,CHA,26,0.1,0.3,26.7
Michael Kidd-Gilchrist,CHA,24,0.4,0.9,42.6
Mike Conley,MEM,30,0.3,1.0,25.0
Mike James,NOP,27,0.3,0.8,40.0
Mike Muscala,ATL,26,0.2,0.5,44.0
Mike Scott,WAS,29,0.6,1.0,60.3
Miles Plumlee,ATL,29,0.1,0.2,40.0
Milos Teodosic,LAC,31,0.3,0.4,57.9
Milton Doyle,BKN,24,0.0,0.0,0.0
Mindaugas Kuzminskas,NYK,28,0.0,0.0,0.0
Mirza Teletovic,MIL,32,0.1,0.3,33.3
Monte Morris,DEN,22,0.5,0.5,100
Montrezl Harrell,LAC,24,0.1,0.3,47.6
Myke Henry,MEM,25,0.0,0.2,0.0
Myles Turner,IND,22,0.2,0.7,35.9
Nate Wolters,UTA,26,0.0,0.3,0.0
Naz Mitrou-Long,UTA,24,-,-,-
Nemanja Bjelica,MIN,29,0.0,0.1,37.5
Nene,HOU,35,0.1,0.3,40.0
Nerlens Noel,DAL,23,0.2,0.5,35.7
Nick Collison,OKC,37,0.0,0.0,0.0
Nick Young,GSW,32,0.3,0.5,52.5
Nicolas Batum,CHA,29,0.8,1.8,47.2
Nicolas Brussino,ATL,25,0.0,0.0,0.0
Nigel Hayes,SAC,23,0.0,0.0,0.0
Nik Stauskas,BKN,24,0.0,0.0,0.0
Nikola Jokic,DEN,23,0.6,1.3,46.1
Nikola Mirotic,NOP,27,0.3,0.9,31.1
Nikola Vucevic,ORL,27,0.8,2.0,38.5
Noah Vonleh,CHI,22,0.1,0.2,40.0
Norman Powell,TOR,24,0.1,0.2,40.0
OG Anunoby,TOR,20,0.0,0.0,33.3
Okaro White,CLE,25,0.2,0.2,100
Omer Asik,CHI,31,0.1,0.1,100
Omri Casspi,GSW,29,0.2,0.3,47.1
Otto Porter Jr.,WAS,24,0.5,1.3,40.8
PJ Dozier,OKC,21,0.0,0.0,0.0
PJ Tucker,HOU,32,0.0,0.1,20.0
Pascal Siakam,TOR,24,0.1,0.2,50.0
Pat Connaughton,POR,25,0.1,0.2,46.2
Patrick Beverley,LAC,29,0.2,0.7,25.0
Patrick McCaw,GSW,22,0.1,0.2,25.0
Patrick Patterson,OKC,29,0.1,0.2,25.0
Patty Mills,SAS,29,0.1,0.1,40.0
Pau Gasol,SAS,37,0.3,0.9,30.6
Paul George,OKC,27,0.5,1.5,36.0
Paul Millsap,DEN,33,0.8,1.7,45.5
Paul Zipser,CHI,24,0.1,0.3,28.6
Quincy Acy,BKN,27,0.0,0.1,20.0
Quincy Pondexter,CHI,30,0.1,0.1,100
Quinn Cook,GSW,25,0.4,0.8,57.1
RJ Hunter,HOU,24,0.0,0.0,0.0
Rajon Rondo,NOP,32,0.1,0.3,53.3
Ramon Sessions,WAS,31,0.1,0.5,23.1
Rashad Vaughn,ORL,21,0.1,0.2,66.7
Raul Neto,UTA,25,0.1,0.4,28.6
Raymond Felton,OKC,33,0.2,0.5,43.2
Reggie Bullock,DET,27,0.3,0.7,43.9
Reggie Hearn,DET,26,0.0,0.0,0.0
Reggie Jackson,DET,27,0.9,1.7,53.7
Richard Jefferson,DEN,37,0.1,0.2,50.0
Richaun Holmes,PHI,24,0.1,0.4,33.3
Ricky Rubio,UTA,27,0.6,1.4,45.9
Robert Covington,PHI,27,0.0,0.3,4.8
Robin Lopez,CHI,30,0.3,0.7,36.4
Rodney Hood,CLE,25,0.7,1.7,43.3
Rodney McGruder,MIA,26,0.0,0.1,0.0
Rodney Purvis,ORL,24,0.0,0.1,0.0
Ron Baker,NYK,25,0.0,0.0,0.0
Rondae Hollis-Jefferson,BKN,23,0.9,1.9,47.9
Royce O'Neale,UTA,24,0.2,0.3,52.6
Rudy Gay,SAS,31,0.8,1.7,49.4
Rudy Gobert,UTA,25,0.0,0.2,12.5
Russell Westbrook,OKC,29,1.0,2.5,38.5
Ryan Anderson,HOU,29,0.1,0.2,53.8
Ryan Arcidiacono,CHI,24,0.0,0.0,0.0
Salah Mejri,DAL,31,0.0,0.0,0.0
Sam Dekker,LAC,23,0.0,0.1,50.0
Scotty Hopson,DAL,28,0.0,0.0,0.0
Sean Kilpatrick,CHI,28,0.1,0.2,30.0
Semi Ojeleye,BOS,23,0.0,0.1,50.0
Serge Ibaka,TOR,28,0.7,1.3,53.3
Shabazz Muhammad,MIL,25,0.1,0.4,20.0
Shabazz Napier,POR,26,0.2,0.5,38.9
Shane Larkin,BOS,25,0.1,0.2,36.4
Shaquille Harrison,PHX,24,0.1,0.2,33.3
Shaun Livingston,GSW,32,0.9,2.0,44.9
Shelvin Mack,ORL,27,0.2,0.6,32.4
Sindarius Thornwell,LAC,23,0.1,0.1,44.4
Skal Labissiere,SAC,22,0.4,1.0,38.3
Solomon Hill,NOP,27,0.0,0.0,0.0
Spencer Dinwiddie,BKN,24,0.3,0.8,36.5
Stanley Johnson,DET,21,0.2,0.5,31.4
Stephen Curry,GSW,30,0.6,1.0,56.6
Sterling Brown,MIL,23,0.2,0.3,61.5
Steven Adams,OKC,24,0.3,0.5,54.3
T.J. McConnell,PHI,26,0.6,1.3,45.1
TJ Leaf,IND,20,0.1,0.2,50.0
TJ Warren,PHX,24,1.2,2.6,43.9
Taj Gibson,MIN,32,0.4,0.8,46.2
Tarik Black,HOU,26,0.0,0.0,0.0
Taurean Prince,ATL,24,0.3,0.9,35.2
Terrance Ferguson,OKC,19,0.0,0.0,0.0
Terrence Ross,ORL,27,0.3,0.9,36.8
Terry Rozier,BOS,24,0.2,0.6,33.3
Thabo Sefolosha,UTA,33,0.2,0.6,40.9
Thaddeus Young,IND,29,0.2,0.6,38.8
Thomas Bryant,LAL,20,0.0,0.0,0.0
Thon Maker,MIL,21,0.1,0.3,36.4
Tim Frazier,WAS,27,0.1,0.3,46.7
Tim Hardaway Jr.,NYK,26,0.6,1.1,52.4
Tim Quarterman,HOU,23,-,-,-
Timofey Mozgov,BKN,31,0.0,0.1,25.0
Timothe Luwawu-Cabarrot,PHI,22,0.0,0.0,100
Tobias Harris,LAC,25,0.9,2.0,44.3
Tomas Satoransky,WAS,26,0.2,0.5,40.5
Tony Allen,NOP,36,0.0,0.0,0.0
Tony Bradley,UTA,20,0.1,0.5,25.0
Tony Parker,SAS,35,0.4,0.8,45.2
Tony Snell,MIL,26,0.1,0.2,60.0
Torrey Craig,DEN,27,0.0,0.1,50.0
Travis Wear,LAL,27,0.0,0.1,0.0
Treveon Graham,CHA,24,0.1,0.3,31.6
Trevor Ariza,HOU,32,0.0,0.1,0.0
Trevor Booker,IND,30,0.1,0.2,26.7
Trey Burke,NYK,25,0.8,1.4,53.5
Trey Lyles,DEN,22,0.3,0.6,55.3
Trey McKinney-Jones,IND,27,0.0,0.0,0.0
Tristan Thompson,CLE,27,0.0,0.2,20.0
Troy Daniels,PHX,26,0.2,0.3,50.0
Troy Williams,NYK,23,0.0,0.2,0.0
Tyler Cavanaugh,ATL,24,0.1,0.1,60.0
Tyler Dorsey,ATL,22,0.0,0.3,7.1
Tyler Ennis,LAL,23,0.0,0.2,22.2
Tyler Johnson,MIA,25,0.2,0.6,39.0
Tyler Lydon,DEN,21,-,-,-
Tyler Ulis,PHX,22,0.8,1.8,47.0
Tyler Zeller,MIL,28,0.1,0.2,45.5
Tyreke Evans,MEM,28,0.0,0.1,40.0
Tyrone Wallace,LAC,23,0.3,1.2,27.6
Tyson Chandler,PHX,35,0.0,0.0,100
Tyus Jones,MIN,21,0.2,0.4,51.6
Udonis Haslem,MIA,37,0.0,0.1,0.0
Vander Blue,LAL,25,0.0,0.0,0.0
Victor Oladipo,IND,25,0.6,1.3,48.9
Vince Carter,SAC,41,0.1,0.1,42.9
Vincent Hunter,MEM,23,0.0,0.5,0.0
Wade Baldwin IV,POR,22,0.0,0.5,0.0
Walter Lemon Jr.,NOP,25,0.0,0.0,0.0
Wayne Ellington,MIA,30,0.0,0.1,12.5
Wayne Selden,MEM,23,0.2,0.6,40.0
Wes Iwundu,ORL,23,0.2,0.4,42.9
Wesley Johnson,LAC,30,0.1,0.3,40.0
Wesley Matthews,DAL,31,0.5,1.1,42.6
Will Barton,DEN,27,0.3,0.6,42.2
Willie Cauley-Stein,SAC,24,0.2,0.6,27.9
Willie Reed,DET,27,0.1,0.3,40.0
Willy Hernangomez,CHA,23,0.1,0.2,50.0
Wilson Chandler,DEN,30,0.1,0.5,22.2
Xavier Munford,MIL,25,0.3,0.3,100
Xavier Rathan-Mayes,MEM,23,0.0,0.4,0.0
Xavier Silas,BOS,30,-,-,-
