PLAYER,TEAM,GP,< 5 Att,< 5 %,5 - 9 Att,5 - 9 %,10 - 14 Att,10 - 14 %,15 - 19 Att,15 - 19 %,20 - 24 Att,20 - 24 %,25 - 29 Att,25 - 29 %,0 - 2 Att 2,0 -2 % 2,2 - 4 Att 2,2 - 4 % 2,4 - 6 Att 2,4 - 6 % 2,6 + Att 2,6 + % 2,0 - 2 Att 3,0 -2 % 3,2 - 4 Att 3,2 - 4 % 3,4 - 6 Att 3,4 - 6 % 3,6 + Att 3,6 + % 3,2P Adj,3P Adj
Dwyane Wade,MIA,63,3.6,63.4,1.1,40.3,1.7,27.1,1.9,39.5,1,26.7,1,37.7,80,53.8,261,49.8,149,43.6,42,59.5,0.001,0.001,23,34.8,48,22.9,31,38.7,-4.8,-0.7
E'Twaun Moore,NOP,76,3.1,62.3,0.5,40.5,0.1,44.4,0.001,0.001,0.001,0.001,0.001,0.001,18,44.4,152,67.1,19,89.5,3,100,0.001,0.001,0.001,0.001,1,0.001,0.001,0.001,-2.9,-4.1
Ed Davis,POR,59,1.2,64.3,0.5,35.7,0.2,25,0.1,0.001,0.001,0.001,0.001,0.001,117,60.7,55,63.6,23,47.8,6,66.7,1,0.001,0.001,0.001,0.001,0.001,1,0.001,-2.7,5.3
Ekpe Udoh,UTA,63,5.5,62.5,1.6,36.3,0.9,39,0.9,33.9,0.9,34.5,0.8,31.4,11,36.4,265,55.5,110,60.9,28,50,0.001,0.001,4,0.001,28,50,58,27.6,-3.2,-5.3
Elfrid Payton,PHX,23,2.4,54.5,0.5,33.3,0.6,38.5,0.5,54.5,0.001,0.001,0.001,0.001,46,52.2,39,61.5,19,63.2,9,55.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4.7,1.2
Emeka Okafor,NOP,62,2.9,51.4,0.8,29.4,1,35,1.2,34.7,1.1,41.8,1.4,26.2,177,69.5,134,51.5,114,40.4,31,45.2,0.001,0.001,14,21.4,61,27.9,66,39.4,-4.4,8.3
Emmanuel Mudiay,NYK,71,6.9,65,1.9,48.5,0.6,45.7,0.6,45,0.001,0.001,0.001,0.001,44,47.7,342,68.4,77,50.6,40,52.5,2,0.001,0.001,0.001,1,0.001,1,0.001,5.4,4.9
Enes Kanter,NYK,69,4.6,65,1,39.4,1.1,43.4,1.5,41.2,1.8,34.7,3.5,35.8,69,58,265,57,174,55.7,72,70.8,19,15.8,24,16.7,131,29.8,184,40.8,1.6,8.1
Eric Bledsoe,MIL,67,3.9,62.9,0.7,32.7,0.3,30.4,0.2,27.3,2.1,40.6,6.5,35.2,24,41.7,178,66.9,49,55.1,15,66.7,0.001,0.001,47,36.2,203,26.1,316,44.3,-1.6,2.4
Eric Gordon,HOU,62,1.2,59.5,0.3,38.9,0.1,16.7,0.001,0.001,0.001,0.001,0.001,0.001,40,57.5,45,64.4,14,42.9,8,87.5,2,100,0.001,0.001,0.001,0.001,0.001,0.001,-1.3,-6.1
